"x","y","z"
285218.058479532,274829.473684211,211865.263157895
327781.590909091,298215.267272727,178351.818181818
332431.286078431,299329.911568627,173309.803921569
340980.1666,301749.0238,166405.2
348158.539849624,300342.146165414,158741.954887218
287406.476190476,278969.523809524,207700.952380952
291274.969302326,281150.110232558,205553.488372093
294079.68371134,284111.04371134,200604.536082474
297513.808695652,286487.978913043,196002.173913043
302883.91962963,289477.24837037,193425.481481481
307639.352820513,292201.664615385,189031.794871795
311989.963478261,292879.937391304,183434.782608696
318900.292121212,294411.714545455,181650.303030303
282595.60350211,271870.233122363,216284.050632911
279059.234042553,268382.29787234,218506.170212766
259102.71047619,244523.384656085,254525.925925926
255880.949677419,241616.619354839,258680
254222.65374269,240195.874269006,262029.005847953
247884.693877551,237352.653061224,265635.37414966
276930.705,264695.118888889,223461.111111111
273888.065842697,261980.688988764,228141.573033708
270925.5302,257675.5474,231116.8
266719.025380711,254988.670050761,234242.030456853
262396.5,251488,239070.9375
260841.796905246,248995.993959888,242774.426229508
259965.792884017,248913.751299807,246402.558139535
260123.247569406,246739.947559961,250240.963855422
284162.711340206,309798.829896907,238471.75257732
331194.532132701,325757.679146919,200570.426540284
336501.960784314,328035.555555556,198165.490196078
340348.12702381,328627.333333333,194212.380952381
344882.105263158,329447.368421053,191209.473684211
349672,330962.178723404,186977.446808511
353715.78313253,330759.542168675,184046.746987952
292737.916375,311678.004625,233280.5
297665.394871795,312815.261538462,228754.051282051
303671.455,314664.76125,223650.625
306692.242465753,316968.573287671,219884.383561644
312297.267759563,319355.978142077,215465.355191257
316370.987684211,320651.370210526,211712.842105263
320785.04,323187.36,207731.4
325995.252747253,324668.835164835,204261.758241758
281389.033912756,308458.013066162,243713.831775701
277960.275677049,306220.506074753,248564.857142857
277442.168534983,305348.53807499,252417.286432161
273792.969850746,303602.669154229,257283.383084577
270374.553191489,303548.569148936,262159.361702128
263453.090909091,300346.472727273,267109.090909091
286117.609104971,313644.328044717,242125.863874346
331347.017142857,329631.451428571,203162.057142857
336573.986013986,330731.188811189,201101.258741259
341965.022922078,331668.962077922,196754.805194805
345420.487804878,332803.902439024,192880.731707317
349260.860980392,334191.207124183,190661.437908497
353312.671328671,334716.643356643,186853.706293706
354252.731092437,338020.798319328,185246.050420168
290283.2175,314829.004596774,237000.967741935
299430.002920354,316889.349026549,231424.778761062
303289.173418803,318325.670683761,227315.555555556
308555.668508287,320736.53038674,222446.850828729
311901.601538462,321761.577869823,218608.520710059
317574.651685393,323929.528089888,214373.93258427
322007.703703704,325002.271604938,210540
326629.557894737,328130.021052632,206768.631578947
284909.512798923,314528.92763192,246897.235772358
281345.542670411,311766.239385548,250805.462555066
278773.139393939,310402.133333333,255912.242424242
272258.873495146,308968.812815534,262000.194174757
267107.14375,307440.74375,265725
288953.939941721,317970.079321282,244729.263157895
331936.289772727,332507.056818182,206032.045454545
337441.807909605,334644.06779661,202827.796610169
342221.13368984,335363.165775401,199578.823529412
346461.724972973,336530.927783784,195728.432432432
350076.307692308,337829.415384615,193234.769230769
352717.112195122,338433.040650407,190256.260162602
354427.158888889,342216.227777778,189944.126984127
291817.021074816,319681.669125395,240700.821917808
298486.415352113,320526.086478873,234858.591549296
305265.222658228,322269.343670886,230566.582278481
308895.807228916,323496.096385542,226650.602409639
313760,325251.516483516,221706.373626374
318866.94972067,327308.335195531,217219.217877095
322819.101321586,328509.039647577,213030.660792952
327769.527272727,330870.327272727,208848.863636364
285466.522616515,316874.302546602,250095.692307692
284538.723404255,317252.765957447,255313.617021277
278953.868020305,315301.614213198,259399.593908629
269849.068027211,312496.537414966,264454.421768707
290986.952775027,323135.34200147,249852.978723404
333243.594202899,335279.072463768,208969.275362319
337822.139534884,337702.325581395,206491.395348837
343784.843333333,339264.020833333,203783.333333333
346023.813953488,339704.744186047,198906.046511628
350187.316556291,341409.313907285,196654.569536424
353308.580152672,344339.297709924,192204.580152672
293631.641535654,322572.107675689,244247.251461988
297605.434722222,324047.105277778,239010
305035.66375,325060.847019231,234137.692307692
310753.219047619,328038.857142857,229121.142857143
314199.736263736,328378.725274725,225759.78021978
319488.378698225,330170.887573964,220849.467455621
324126.727272727,331896,216545.454545455
328916.957983193,332877.848739496,213202.016806723
288724.48,322443.377777778,254019.111111111
284551.236713287,321234.078741259,258585.174825175
276746.666666667,319099.152777778,262905.833333333
292820.073809524,328776.237619048,254021.798941799
334583.23566879,338471.337579618,212073.375796178
337856.75375,340757.75375,210952.5
342861.1768,342270.2616,206179.2
346555.052083333,344044.796875,201460.416666667
349897.909677419,345942.503225806,199296.516129032
352792.868496732,344134.800457516,196503.006535948
294723.831362454,327284.890460559,247701.538461538
298597.432592785,328178.801326709,243141.09375
303201.035692308,328425.471384615,238466.461538462
309972.532110092,330347.463302752,233587.706422018
315378.314465409,332677.635220126,229354.968553459
319809.794708995,333252.402116402,224235.555555556
324258.50952381,334965.826785714,219842.380952381
329388.64,336991.52,216140.4
289048.239259259,326239.07026455,257667.513227513
283693.179487179,323995.487179487,261983.58974359
292434.259133333,332921.74,257002.933333333
335639.71,344344.756666667,216280
339451.931818182,343390.784090909,212094.090909091
343210.812785388,345552.511415525,208364.931506849
346723.695409836,347279.267704918,205279.016393443
348626.443703704,350523.776031746,202399.576719577
298177.032667405,331500.87475927,252275.683453237
299167.674830654,332310.615129916,247164.603174603
302337.117121977,332850.142463758,242561.764705882
307095.885167464,334144.918660287,237102.775119617
315736.275862069,335427.625615764,233227.783251232
321219.555555556,337464.71957672,228957.46031746
324672.805031447,338331.371069182,224067.169811321
328524.888888889,341981.377777778,220857.777777778
335241.169590643,345237.894736842,218843.040935673
340205.8325,346835.165,214447.75
343620.363636364,348231.896103896,211345.454545455
346393.263157895,351354.385964912,208575.087719298
296985.691478873,336816.900070423,255832.112676056
301410.901945825,335811.812581368,250271.714285714
305408.934344324,336206.967337954,245367.058823529
307791.053093182,338183.088891651,242663.68159204
312788.207416667,339245.748166667,237130.666666667
319454.119617225,340357.980861244,234137.607655502
326128.165594059,342087.31519802,227983.762376238
329966.88,343145.12,223791.6
333629.347593583,348530.224598931,223182.032085561
338993.723076923,349888,219070.769230769
341803.343915344,351925.333333333,215152.380952381
304779.233674704,341188.184555768,249094.545454545
307805.564516599,342068.837991446,244992.216216216
313001.569918033,343403.049918033,241085.245901639
317247.746267943,344245.974880383,236755.980861244
325230.352781065,345880.904023669,233178.461538462
329877.39744898,347246.549897959,228212.040816327
332860.269461078,351300.497005988,227124.790419162
337318.541666667,351532.775,222520.666666667
312785.388782961,346480.798217859,243169.638554217
315475.021126761,349833.316901408,239460
324681.301202186,351108.924480874,234120.218579235
329492.303373494,351575.514518072,231150.602409639
284783.918298755,278710.101161826,214140.414937759
325749.207833333,300702.137333333,179972
332242.36,302224.753764706,174876.078431373
339340.676785714,304647.8575,170670
349343.7335,305575.095416667,163555
289592.088854167,282093.018854167,211051.25
291281.989433962,285759.687264151,207153.20754717
295520.750873786,287826.685631068,204250.097087379
298819.950980392,290908.612745098,198683.333333333
302454.482772277,293173.98980198,195165.148514851
307726.991428571,294938.604761905,192292.380952381
313913.022,297206.054,185906.666666667
319124.748,297622.123555556,182720.888888889
281371.048473282,274838.625801527,218899.541984733
278937.176470588,271369.509803922,222482.614379085
257442.599239766,250377.721052632,257679.766081871
254421.426180556,246982.271805556,261661.388888889
249755.11975,243856.663166667,265241
275024.035862069,269346.544482759,226932.413793103
272092.852542373,265583.574322034,229976.271186441
268859.788571429,262850.675238095,231699.047619048
263796.610169491,258840.054237288,237699.661016949
262157.299703441,256404.226890413,241912.777777778
259838.876442648,255308.131968262,245214.166666667
260559.776007941,254042.251032068,250048.831168831
260460.1,251329.07625,253533.75
283810.833333333,282374.15,217391.333333333
324237.706407767,303227.913980582,182708.737864078
329987.490854701,304491.639316239,178476.923076923
339445.165210084,307590.560672269,173563.697478992
346160.091388889,307594.925277778,165894.444444444
288697.594642857,285044.101071429,213935.102040816
292534.955740741,288321.735648148,210040.740740741
295886.60942029,292165.282463768,205272.463768116
299776.876712329,293685.04109589,201734.794520548
304929.87012987,296379.428571429,197496.883116883
308464.285212766,298936.407659574,192613.191489362
312850.556,299155.646666667,190805.333333333
319841.664893617,302279.738297872,185931.489361702
281372.057051793,279211.997928287,220974.820717131
278314.683937008,276369.776771654,225049.763779528
256610.683459119,254289.194150943,260688.301886792
249330.076335878,249755.358778626,266149.007633588
247659.808510638,246881.914893617,267610.638297872
275439.142673267,273462.193861386,228746.930693069
272132.725888889,269783.851888889,232284.666666667
266573.649289099,266375.734597156,236335.545023697
262686.23853211,263649.76146789,240733.577981651
262656.225211731,262071.997788199,244067.657142857
261052.191351734,261269.063712282,248717.171717172
261497.929379845,259536.769379845,252993.488372093
257196.471129944,257102.004689266,257801.581920904
285127.398843931,285822.705202312,220221.502890173
325469.616363636,307348.041818182,186558.181818182
330463.976545455,307832.089090909,180858.909090909
337786.525660377,308630.607358491,176801.509433962
345307.428979592,312399.34,171467.755102041
352380.810625,312428.16375,166955
288867.950617284,289702.913580247,215658.024691358
293952.708026906,292069.693408072,212674.439461883
296585.292293578,294901.523944954,208478.532110092
300110.285714286,297337.523809524,204891.428571429
305134.202247191,300006.471910112,199762.02247191
309516.190514286,302045.1352,195849.828571429
313193.514,303766.7365,192756
319923.313888889,306145.697222222,189771.111111111
282297.13130719,283861.173398693,223815.163398693
278647.072471264,280553.758333333,227757.701149425
250496.111454545,256281.650666667,264437.818181818
247336.706979866,254330.045503356,268268.456375839
273659.0414,278344.2317,230878.8
269327.03125,274510,235168.75
264916.525252525,271751.919191919,239053.131313131
263970.890337288,269217.596271735,243502.910798122
261502.649511894,268319.184812167,247920
262511.578302995,266258.177369348,252738.320610687
259453.25,263037,256280
257152.29791411,261987.999447853,261073.374233129
285895.261538462,288909.981538462,223150.769230769
326484.395604396,310954.549450549,188001.098901099
332858.943181818,311090.454545455,183675.681818182
338240.947333333,311912.738888889,180742.666666667
344138.711891892,313749.192972973,175367.207207207
350718.892459016,315005.08,168741.967213115
290043.957894737,293123.873684211,218079.157894737
295516.23171875,295939.91015625,213853.125
298039.414634146,298174.307642276,210950.894308943
300326.027195122,301412.072926829,206511.463414634
305030.43575419,303575.597765363,202562.458100559
310393.248191489,305299.347553191,198408.085106383
316270.906832298,306897.689440994,194833.291925466
320104,309077.263157895,191332.631578947
281151.786666667,287913.045333333,227008.8
278460.421052632,284519.368421053,230686.842105263
249722.631205674,260937.602836879,266833.758865248
272361.864661654,282576.601503759,234429.473684211
267244.48,279393.6,238516
266004.014377964,276057.435393685,243283.829787234
263296.083590518,275403.469892967,247205.154639175
265069.830519724,273405.731742016,251931.818181818
261450.355590909,270759.410818182,255736.545454545
259627.56212766,268877.938829787,259711.276595745
253607.019354839,265709.625806452,263962.580645161
285080.287120419,294197.487225131,225014.031413613
327547.395683453,313742.73381295,190958.561151079
333100.181818182,314641.454545455,187221.590909091
338023.890410959,315468.273972603,184259.726027397
342082.009032258,316411.6,179174.193548387
348837.557283951,317533.63037037,174569.87654321
355885.6,320232.825756098,166552.195121951
289028.515337423,296705.374233129,221000.981595092
293572.192857143,298463.089285714,216374.142857143
299208.173684211,300949.812368421,213100
302480.561818182,304354.016363636,209767.272727273
306058.412857143,306555.177527473,204964.835164835
310933.841269841,308586.666666667,200279.153439153
316351.072935323,309860.789353234,197804.975124378
322026.741258741,312558.858741259,193977.902097902
283586.95035461,292251.460992908,229218.439716312
278597.357142857,288871.091836735,232753.87755102
271760,286543.209876543,237408.395061728
267773.121127741,284035.596937,242111.131221719
265989.262847423,281428.768637811,246195.454545455
264834.525760007,279959.917122326,250051.366120219
264248,278457.531914894,255019.787234043
261207.048100559,276930.733184358,259214.972067039
255766.407024793,274129.772727273,262968.925619835
252074.46875,271000.635416667,267867.083333333
286468.616915423,298294.447761194,227833.233830846
328478.369426752,316980.382165605,192600
333503.80952381,318134.857142857,189408.333333333
338281.119170984,319292.186528497,185994.81865285
342952.919636364,318933.794727273,183061.818181818
349239.883870968,319577.500645161,178143.225806452
353336.863265306,321292.615306122,173024.081632653
289881.190751445,300101.583815029,223917.225433526
293854.241758242,302579.868131868,219450.989010989
298406.4125,305356.475,215264
302925.191449275,307457.032318841,211192.753623188
307984.636512456,310030.517544484,207265.90747331
312299.390718232,311569.174364641,202620.552486188
317369.344682081,313110.303121387,199998.843930636
321952.611464968,314756.687898089,196354.140127389
283276.99009901,296428.831683168,232045.940594059
276015.186440678,294165.288135593,235961.525423729
271742.684745763,291533.648305085,241463.050847458
269178.84100554,289461.28340557,245031.076923077
267568.573082644,287461.316614199,250097.125748503
267555.235955056,285602.337078652,253573.033707865
263919.012345679,283914.008230453,257654.814814815
261246.868686869,282256.808080808,261902.02020202
253997.256363636,276549.569545455,266240.909090909
287064.949152542,302606.101694915,230588.248587571
329251.888888889,319582,195583.611111111
334155.45,321595.25,192881.5625
339951.96877193,322608.810877193,188916.725146199
345131.535234899,323223.555973154,186474.899328859
348815.754705882,322947.875882353,183094.117647059
353692.066557377,323187.437868852,176337.704918033
290259.654822335,304794.152284264,226564.467005076
295076.259875,306024.337375,222686.5
300496.853714286,308361.891142857,218008
304314.754098361,310412.240437158,214013.551912568
308979.804878049,312798.993902439,210212.43902439
313845.048128342,314749.262032086,205768.770053476
317564.946188341,316749.234080717,201418.116591928
322939.927272727,318391.563636364,198192.909090909
280650.326693227,300210.103585657,234977.848605578
274624.167539267,297547.057591623,239726.282722513
272267.086800938,296230.426340379,244387.321428571
270405.966612456,294365.335366587,249255.91160221
269225.721105528,292379.791457286,254465.125628141
266763.551219512,291904,258719.609756098
263562.140255102,288678.89,262262.040816327
256293.219823529,284856.286294118,266652.235294118
252258.227168142,281199.92920354,269533.097345133
286131.619047619,306022.285714286,234070.476190476
329332.015306122,322329.336734694,198967.959183673
334645.61038961,324236.25974026,195402.857142857
339592.888888889,325150.182716049,191509.135802469
344755.052023121,326918.843930636,187487.167630058
349971.787006369,326716.121974522,185031.082802548
354280.410476191,327601.515238095,181320.952380952
291616.28827957,308427.675806452,229765.376344086
296420.877058824,309262.032205882,225348.235294118
300855.685846154,311786.316307692,220971.076923077
305179.134502924,313800.608187134,217298.947368421
