"","skid","name","tract","lineage","new_type_name","type","hemisphere"
"74",5901194556,NA,"mALT","lvPN","olfactory multi lvPN mALT","fib","FIB"
"75",977866721,"mlPN1","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"76",636418270,"mlPN1_DP1m","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"77",634707780,"mlPN1_DP1m","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"78",1857143769,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"79",886812643,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"80",1099911913,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"81",1322012611,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"82",542665377,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"83",667823920,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"84",5813041247,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"85",823037476,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"86",1447205602,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"87",5812996003,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"88",2383731281,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"89",1415829574,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"90",882353566,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"91",1539978151,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"92",1701325725,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"93",5813013823,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"94",5813014622,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"95",5813008771,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"96",294792184,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"97",1570685257,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
"98",1069929827,"mlPN2","mlALT","vPN","olfactory multi vPN mlALT","fib","FIB"
