Flywire ID,vPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Type Code,Pathway type to MB Left,Pathway type to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Synapse sum to LVINs,Synapse sum to LVINs left,Mirror Twin,Mirror Twin Ints,Notes,
720575940628139113,vPN,visual_projection,Lo,Left,acetylcholine,0.95,171,PLP153,Lo-171,Indirect,None,0,0,0,0,,0,0,0,new indirect vpn added 8/2/23,
720575940628275272,vPN,visual_projection,Me,Left,acetylcholine,0.82,172,ME.18208,Me-172,Indirect,None,0,0,0,0,,0,0,0,new indirect vpn added 8/2/23,
720575940619997854,vPN,visual_projection,Me,Left,acetylcholine,0.9,172,ME.LO.12512,Me-172,Indirect,None,0,0,0,0,,1,0,0,new indirect vpn added 8/2/23,
720575940619303237,vPN,visual_projection,Me,Left,acetylcholine,0.82,173,ME.23502,Me-173,Indirect,None,0,0,0,0,,0,0,0,new indirect vpn added 8/2/23,
720575940632640737,vPN,visual_projection,Me,Left,acetylcholine,0.9,174,ME.PLP.228,Me-174,Indirect,None,0,0,0,0,,17,0,0,new indirect vpn added 8/2/23,
720575940624278057,vPN,visual_projection,Lo,Left,acetylcholine,0.91,175,LO.515,Lo-175,Direct,None,10,1,0,0,0,,720575940629259831,720575940629259831,small field,
720575940618660765,vPN,visual_projection,Lo,Left,acetylcholine,0.9,177,PLP147,PLP147,Indirect,None,0,0,0,0,87,0,720575940627221763,720575940627221763,,
720575940630585704,vPN,visual_projection,Lo,Left,acetylcholine,0.89,178,LO.SCL.7,Lo-178,Direct,None,111,8,0,0,0,,720575940615691348,720575940615691348,small field,
720575940622891242,vPN,visual_projection,Lo,Left,acetylcholine,0.89,178,LO.SLP.12,Lo-178,Direct,None,101,8,0,0,0,,720575940622984701,720575940622984701,small field,
720575940637511525,vPN,visual_projection,Me,Left,acetylcholine,0.91,179,ME.745,Me-179,Both,None,53,5,0,0,,0,720575940630396282,720575940630396282,update synapses to lvins. ,
720575940615649942,vPN,visual_projection,Me,Left,acetylcholine,0.93,180,ME.PLP.55,Me-180,Indirect,None,0,0,0,0,,15,can't find,0,update synapses to lvins,
720575940630396282,vPN,visual_projection,Me,Right,acetylcholine,0.91,181,ME.775,Me-181,None,Both,0,0,95,7,,0,720575940637511525,720575940637511525,,
720575940624089992,vPN,visual_projection,Me,Right,acetylcholine,0.94,182,ME.PLP.24,Me-182,None,Both,0,0,50,3,,0,720575940628884183,720575940628884183,should be same cluster as ME.PLP.37,
720575940628884183,vPN,visual_projection,Me,Left,acetylcholine,0.93,182,ME.PLP.37,Me-182,Both,None,82,4,0,0,53,0,720575940624089992,720575940624089992,middle. ,
720575940624488629,vPN,visual_projection,Lo,Left,glutamate,0.71,183,CL285,CL285,Indirect,None,0,0,0,0,10,0, 720575940641983989 or 720575940624488629,720575940641983989,,
720575940630737516,vPN,visual_projection,Me,Left,acetylcholine,0.92,184,CB0389,CB0389,Both,None,313,26,0,0,13,0,720575940612925146,720575940612925146,ventral. ,
720575940612925146,vPN,visual_projection,Me,Right,acetylcholine,0.9,184,CB0389,CB0389,None,Both,0,0,372,25,,0,720575940630737516,720575940630737516,,
720575940612079822,vPN,visual_projection,Me,Left,glutamate,0.5,184,ME.18540,Me-184,Indirect,None,0,0,0,0,16,0,can't find,0,,
720575940618147028,vPN,visual_projection,Me,Right,acetylcholine,0.87,184,ME.PLP.52,Me-184,None,Both,0,0,23,3,,0,can't find,0,,
