v630 Neuron ID,Neuron ID 05Oct2023,VPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Pathway to MB Left,Pathway to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Mirror Twin 
720575940617151861,720575940656154273,VPN,visual_projection,Lo,Right,Unknown,NA,,LT68,None,Indirect,0,0,0,0,0
720575940627511582,720575940627511582,VPN,visual_projection,Lo,Right,glutamate,0.45,,LT68,None,Indirect,0,0,0,0,0
720575940633614253,720575940633614253,VPN,visual_projection,Lo,Right,acetylcholine,0.93,,LT72,None,Indirect,0,0,0,0,0
720575940638602842,720575940638602842,VPN,visual_projection,Lo,Right,glutamate,0.65,,LT74,None,Indirect,0,0,0,0,0
720575940629046377,720575940629046377,VPN,visual_projection,Lo,Right,acetylcholine,0.84,,LT85,None,Indirect,0,0,0,0,0
720575940641422221,720575940641422221,LVIN,central,NA - LVIN,Right,acetylcholine,0.91,,PVLP.SLP.8,None,Direct,0,0,57,3,720575940619421319
720575940623987214,720575940623987214,VPN,visual_projection,Me,Right,acetylcholine,0.92,,"MC61, MC64",None,Indirect,0,0,0,0,0
720575940628321284,720575940628321284,VPN,visual_projection,Me,Right,acetylcholine,0.93,,"MC61, MC64",None,Indirect,0,0,0,0,0
720575940618758592,720575940618758592,VPN,visual_projection,Me,Right,acetylcholine,0.9,,"MC61, MC64",None,Indirect,0,0,0,0,0
720575940627619687,720575940627619687,VPN,visual_projection,Me,Right,acetylcholine,0.94,,"MC61, MC64",None,Indirect,0,0,0,0,0
720575940618964672,720575940618964672,VPN,visual_projection,Me,Right,acetylcholine,0.87,,"MC61, MC64",None,Indirect,0,0,0,0,0
720575940627322627,720575940627322627,VPN,visual_projection,Me,Right,acetylcholine,0.89,,"MC61, MC64",None,Indirect,0,0,0,0,0
720575940632798177,720575940632798177,VPN,visual_projection,Me,Right,acetylcholine,0.91,,"MC61, MC64",None,Indirect,0,0,0,0,0
720575940611128818,720575940611128818,VPN,visual_projection,Me,Right,acetylcholine,0.89,,MC62,None,Indirect,0,0,0,0,0
720575940614400415,720575940614400415,VPN,visual_projection,Me,Right,acetylcholine,0.87,,MC62,None,Indirect,0,0,0,0,0
720575940617315329,720575940617315329,VPN,visual_projection,Me,Right,acetylcholine,0.86,,MC62,None,Indirect,0,0,0,0,0
720575940618712523,720575940620924619,VPN,visual_projection,Me,Right,acetylcholine,0.87,,MC62,None,Indirect,0,0,0,0,0
720575940620009069,720575940620009069,VPN,visual_projection,Me,Right,acetylcholine,0.9,,MC62,None,Indirect,0,0,0,0,0
720575940620743151,720575940620743151,VPN,visual_projection,Me,Right,acetylcholine,0.91,,MC62,None,Indirect,0,0,0,0,0
720575940623957432,720575940623957432,VPN,visual_projection,Me,Right,acetylcholine,0.88,,MC62,None,Indirect,0,0,0,0,0
720575940626811497,720575940626811497,VPN,visual_projection,Me,Right,acetylcholine,0.87,,MC62,None,Indirect,0,0,0,0,0
720575940629154108,720575940629154108,VPN,visual_projection,Me,Right,acetylcholine,0.81,,MC62,None,Indirect,0,0,0,0,0
720575940630017275,720575940630017275,VPN,visual_projection,Me,Right,acetylcholine,0.86,,MC62,None,Indirect,0,0,0,0,0
720575940634583648,720575940624485828,VPN,visual_projection,Me,Right,acetylcholine,0.84,,MC62,None,Indirect,0,0,0,0,0
720575940637453545,720575940637453545,VPN,visual_projection,Me,Right,acetylcholine,0.87,,MC62,None,Indirect,0,0,0,0,0
720575940646151044,720575940646151044,VPN,visual_projection,Me,Right,acetylcholine,0.86,,MC62,None,Indirect,0,0,0,0,0
720575940615896971,720575940615896971,VPN,visual_projection,Me,Right,acetylcholine,0.83,,MC62,None,Indirect,0,0,0,0,0
720575940620777153,720575940620777153,VPN,visual_projection,Me,Right,acetylcholine,0.92,,MC62,None,Indirect,0,0,0,0,0
720575940621650175,720575940621650175,VPN,visual_projection,Me,Right,acetylcholine,0.86,,MC62,None,Indirect,0,0,0,0,0
720575940622404120,720575940622404120,VPN,visual_projection,Me,Right,acetylcholine,0.9,,MC62,None,Indirect,0,0,0,0,0
720575940623725035,720575940623725035,VPN,visual_projection,Me,Right,acetylcholine,0.85,,MC62,None,Indirect,0,0,0,0,0
720575940625552003,720575940625552003,VPN,visual_projection,Me,Right,acetylcholine,0.88,,MC62,None,Indirect,0,0,0,0,0
720575940625811096,720575940625811096,VPN,visual_projection,Me,Right,acetylcholine,0.9,,MC62,None,Indirect,0,0,0,0,0
720575940628047363,720575940628047363,VPN,visual_projection,Me,Right,acetylcholine,0.91,,MC62,None,Indirect,0,0,0,0,0
720575940628509306,720575940628509306,VPN,visual_projection,Me,Right,acetylcholine,0.9,,MC62,None,Indirect,0,0,0,0,0
720575940629252815,720575940629252815,VPN,visual_projection,Me,Right,acetylcholine,0.88,,MC62,None,Indirect,0,0,0,0,0
720575940631057223,720575940631057223,VPN,visual_projection,Me,Right,acetylcholine,0.82,,MC62,None,Indirect,0,0,0,0,0
720575940634505720,720575940634505720,VPN,visual_projection,Me,Right,acetylcholine,0.85,,MC62,None,Indirect,0,0,0,0,0
720575940637025855,720575940637025855,VPN,visual_projection,Me,Right,acetylcholine,0.83,,MC62,None,Indirect,0,0,0,0,0
720575940644343968,720575940613630105,VPN,visual_projection,Me,Right,acetylcholine,0.87,,MC62,None,Indirect,0,0,0,0,0
720575940617893789,720575940625361481,VPN,visual_projection,Me,Left,acetylcholine,0.77,,MC62,None,Indirect,0,0,0,0,0
720575940629162551,720575940629162551,VPN,visual_projection,Me,Left,acetylcholine,0.79,,MC62,None,Indirect,0,0,0,0,0
720575940625256732,720575940625256732,VPN,visual_projection,Me,Left,acetylcholine,0.83,,MC62,None,Indirect,0,0,0,0,0
720575940618735389,720575940626893258,VPN,visual_projection,Me,Left,acetylcholine,0.75,,MC62,None,Indirect,0,0,0,0,0
720575940627303769,720575940626839600,VPN,visual_projection,Me,Left,acetylcholine,0.77,,MC62,None,Indirect,0,0,0,0,0
720575940635593370,720575940617487477,VPN,visual_projection,Me,Left,acetylcholine,0.74,,MC62,None,Indirect,0,0,0,0,0
720575940629143255,720575940630725826,VPN,visual_projection,Me,Right,acetylcholine,0.86,,MC65,None,Indirect,0,0,0,0,0
720575940607527947,720575940607527947,VPN,visual_projection,Me,Right,glutamate,0.65,,ME.11787,None,Indirect,0,0,0,0,0
720575940643564448,720575940627732313,VPN,visual_projection,Me,Right,acetylcholine,0.91,,ME.12825,None,Indirect,0,0,0,0,0
720575940603397088,720575940603397088,VPN,visual_projection,Me,Right,acetylcholine,0.92,,ME.14380,None,Indirect,0,0,0,0,0
720575940651521782,720575940651521782,VPN,visual_projection,Me,Right,acetylcholine,0.87,,ME.14885,None,Indirect,0,0,0,0,0
720575940632119338,720575940633211217,VPN,visual_projection,Me,Right,acetylcholine,0.88,,ME.20683,None,Indirect,0,0,0,0,0
720575940627104258,720575940627104258,VPN,visual_projection,Me,Left,acetylcholine,0.75,,ME.3411,None,Indirect,0,0,0,0,0
720575940611713509,720575940619983518,VPN,visual_projection,Me,Right,acetylcholine,0.9,,ME.4900,None,Indirect,0,0,0,0,0
720575940621413467,720575940620149371,VPN,visual_projection,Me,Right,acetylcholine,0.86,,ME.5294,None,Indirect,0,0,0,0,0
720575940622497630,720575940622497630,VPN,visual_projection,Me,Right,glutamate,0.65,,ME.6073,None,Indirect,0,0,0,0,0
720575940617975675,720575940617975675,VPN,visual_projection,Me,Right,acetylcholine,0.87,,ME.PLP.104,None,Indirect,0,0,0,0,0
720575940639755891,720575940639755891,VPN,visual_projection,Me,Right,acetylcholine,0.92,,ME.PLP.117,None,Indirect,0,0,0,0,0
