,Data,Random model mean,Random model minimum,Random model maximum,Symmetric model mean,Symmetric model minimum,Symmetric model maximum
14,0.019463199828604824,0.021263427722530696,0.018325869839123165,0.02388523060993307,0.020526926278421728,0.017903677400229585,0.023839050910468538
15,0.017443850371318643,0.019505565737698315,0.017211159754758273,0.021851583577968653,0.01875951978867203,0.01655116753956303,0.02187228965077349
16,0.016696421324795537,0.017826092872659134,0.015646379373518177,0.020425592530968196,0.01721155995086201,0.014874912257601541,0.019449868893017374
17,0.015187747042757315,0.016344461120974863,0.014801109598227943,0.018291843531365277,0.015457962517436148,0.013356793966128298,0.017062557820454037
18,0.014316269771257094,0.014983552173761315,0.01317056781821732,0.017060221988568238,0.01409779537796913,0.012456687672351356,0.01575273828959931
19,0.01324167831996017,0.013828932943886246,0.012148422263189984,0.015382082255188967,0.0130575481284907,0.011211395472664261,0.01460134321792471
20,0.01261905597901847,0.012734909498953714,0.01099237363177618,0.01429619088120713,0.012001552826722923,0.0103649275741779,0.013593453233622719
21,0.010613835296559149,0.011782241065285429,0.01026511375354508,0.013140628879905317,0.010971418827063975,0.009167847962961113,0.012689489198002583
22,0.009537934329396884,0.010857783842451896,0.009376800309957706,0.01218701826444185,0.010069556845302642,0.008580152758221037,0.011558384210385849
23,0.0093849612640277,0.010057690203829557,0.008673083202858268,0.011413205721238839,0.0092583557543694,0.007942669244396815,0.010870741454608146
24,0.008868441345789176,0.009317658436860356,0.0080480938668638,0.010734326723634387,0.008416082293988188,0.00708949587760171,0.009553192952705514
25,0.008615086809372762,0.008677616167847606,0.007471488915070296,0.010008090933929799,0.00765949193570352,0.006412399921075909,0.008937520586275194
26,0.00813582100171317,0.008083460109035396,0.006917674354596963,0.009284610262137205,0.006953511284074245,0.005777127196341632,0.008236801200186418
27,0.007874322912954099,0.007455802738654,0.006409316426792692,0.00860538951529896,0.006456994031314543,0.005351203337798935,0.0076243925947493095
28,0.006699947930616115,0.007012104336145186,0.0060903200793112474,0.008121919365177362,0.0059420145865082714,0.004783371930188089,0.007044548859862176
29,0.006363824078025297,0.006475276131222666,0.005704282086118218,0.0074616104184439536,0.005280930344970108,0.003873787478342312,0.0065657349815154715
30,0.006153255652178555,0.00607814288041705,0.005348860192130123,0.0070519866417305885,0.004740163251804312,0.0034464812637544223,0.006041687208611665
31,0.005694797499305738,0.005638558741838944,0.004678291908346488,0.006499874062344238,0.004273162567119415,0.0029764101680684937,0.005471516485301173
32,0.005326241373264634,0.005178601901299672,0.004357292097513311,0.006009993452541029,0.003888867377287462,0.002431980518239902,0.0050282477051447234
33,0.004981415249527729,0.004800487895890987,0.004008928165919735,0.00557761129481839,0.003404509441668533,0.0022096881137840195,0.004573693315549274
34,0.004302771884315761,0.004370141590501083,0.0033532840276636043,0.005238670443846375,0.002962083092127536,0.0020102758275206884,0.004317352579919505
35,0.004057200081612511,0.0040318750078929275,0.003192628253126337,0.004847944937472545,0.0026346103472083536,0.0017400435353925553,0.003955500439295091
36,0.0031604550914968534,0.0036845355161572663,0.0024394454815517496,0.004482392112449818,0.002224098786806574,0.0001775815154550567,0.0033172656328234566
37,0.003112716932275785,0.0033555390012965365,0.0023086744031768146,0.004249845787694207,0.001842378391301716,9.663461559363825e-34,0.0027318891744054358
38,0.003090219560593095,0.0030278006185583523,0.002215012181992495,0.003919015382574477,0.0014888412627386228,8.398219293426173e-34,0.0024211310068798543
39,0.0030055843640064773,0.0027175501900804505,0.0020605606569278918,0.003471566627339847,0.0010790344574066351,7.614570964988961e-34,0.0021885538188608847
40,0.0026701443234553846,0.002438408016617779,0.001768044392227497,0.003107028462968771,0.0008372101788367188,7.335472038127905e-34,0.002123346545033662
41,0.0022180147140236123,0.002092209345891992,0.0011591100406604517,0.0029515192305489793,0.0006202843930750973,7.335472038127905e-34,0.0020158645785792045
42,0.0021253284276488886,0.0017832934836608406,0.001092969983858005,0.0023835537985964547,0.0004620813566169591,7.335472038127905e-34,0.0018998537769063135
43,0.002093461142418218,0.0015089329733764154,0.0009372778981452294,0.002240874531580793,0.00032165051378959175,7.335472038127905e-34,0.001717776740878637
44,0.0016334602494580438,0.001201197785431269,3.4585042829105044e-32,0.002152015142857006,0.00016368230994079778,7.238933249283917e-34,0.0013075120952041296
45,0.0011414553163972762,0.0008484319387528709,7.810576835155312e-34,0.0018646726998166442,4.179971040210273e-05,6.989042402134325e-34,0.0
46,0.001092757975927115,0.00047131970737832453,7.087637244769119e-34,0.0011695471875251347,9.115411786280865e-34,6.989042402134325e-34,0.0
47,0.0008352494108551536,0.00015259146179905404,5.437446894779056e-34,0.001059748468333657,7.288968828691619e-34,1.8624124504178115e-35,0.0
