,Data,Random model mean,Random model minimum,Random model maximum,Symmetric model mean,Symmetric model minimum,Symmetric model maximum
0,0.17595199851842203,0.17091579150081682,0.16034316411574204,0.18117104583807245,0.18373498906418256,0.16447640072866115,0.1915979656649257
1,0.08110307621600013,0.07417343472917814,0.06877460062890652,0.07976941977023282,0.08336194812259229,0.07608999850719007,0.09207693768112556
2,0.07066636171942522,0.06682358518311829,0.0627075204325645,0.07125432878100273,0.07261911075011968,0.06851730954157192,0.07720452668451686
3,0.06046864193637338,0.0615057118002873,0.05824581702647836,0.0654403827474176,0.06572517668907278,0.05915181488045696,0.06967552713594545
4,0.05983252277806956,0.05687436802001287,0.05327458329223198,0.06035532429717095,0.05878952248067934,0.05464220427241839,0.06296895916969082
5,0.05380788849796758,0.052134998652414916,0.04806252394674956,0.05562147037234839,0.05354364315989883,0.04934774727508627,0.057325352377159314
6,0.04285524907516748,0.04717431624621428,0.043395034942778646,0.051135914468682514,0.04796343793288131,0.04466762005801757,0.05104393761455363
7,0.03687451685343528,0.04186649920851467,0.03838116444454191,0.04559828382957828,0.04289111559993043,0.03783931564810951,0.046385914070825415
8,0.035147960755098115,0.037549569185923115,0.03381356845894698,0.04127234519559518,0.03794890931392638,0.032938960174271725,0.04251482388221388
9,0.03433409193687494,0.033807674127019495,0.030543858355262046,0.03699503508042967,0.03422695392998944,0.029395962990015324,0.038344592627694754
10,0.03139916965548138,0.03070110963939952,0.027353699236693153,0.03377056381072265,0.030750307824918287,0.026320702683502516,0.03588526158844406
11,0.027645969063285036,0.027878721557980136,0.024901781106252182,0.030962735488070443,0.02779648959576365,0.023934752395953607,0.03105566814978254
12,0.02554329061699108,0.02565157656323834,0.022843409804534604,0.028340465686286936,0.025022923825828033,0.021270962232582975,0.02807350420275144
13,0.022612335522481458,0.02335645042724389,0.020486723084701605,0.025672062454432366,0.022519793500217024,0.019874448498389777,0.025721700258227977
