,Presynaptic neuron type,Presynaptic neuron,Postsynaptic neuron,Predicted synapse type,Variance in distances from centroid
86,VPN,720575940625459464,720575940643195159,claw,1111.9365949339028
87,VPN,720575940647731252,720575940620236270,claw,134.6005618167507
88,VPN,720575940647731252,720575940626465286,claw,413.29762799862385
89,VPN,720575940647731252,720575940627229007,en_passant,2970.7215474528116
90,VPN,720575940629824617,720575940643741384,claw,1209.810467050242
91,VPN,720575940629824617,720575940634906286,en_passant,2395.3440575725126
92,VPN,720575940615149836,720575940605199305,claw,668.8731815783119
93,VPN,720575940615149836,720575940608413193,en_passant,3640.485474194176
94,VPN,720575940615149836,720575940613294016,claw,389.4176732804188
95,VPN,720575940615149836,720575940615713292,claw,139.30835549909875
96,VPN,720575940615149836,720575940619155182,claw,1266.1991738682145
97,VPN,720575940615149836,720575940619825237,en_passant,3580.2452504199996
98,VPN,720575940615149836,720575940610391854,claw,633.6007021761868
99,VPN,720575940615149836,720575940608126386,claw,688.7957604443558
100,VPN,720575940615149836,720575940616460322,en_passant,6513.361157672878
101,VPN,720575940615149836,720575940617931547,claw,1077.7440305543948
102,VPN,720575940615149836,720575940618163013,claw,599.6735016910528
103,VPN,720575940615149836,720575940619511206,en_passant,2693.295078300667
104,VPN,720575940615149836,720575940620200709,claw,538.9387911646019
105,VPN,720575940615149836,720575940622013097,en_passant,4655.803606688416
106,VPN,720575940615149836,720575940623906633,claw,1299.3242585294092
107,VPN,720575940615149836,720575940628134266,claw,255.18905258456292
108,VPN,720575940615149836,720575940630411894,claw,343.32977949652525
109,VPN,720575940615149836,720575940631305164,claw,148.25782627960112
110,VPN,720575940615149836,720575940635389808,en_passant,2555.9960817761976
111,VPN,720575940615149836,720575940636023438,en_passant,1616.222111788391
112,VPN,720575940615149836,720575940636562916,claw,856.9641601903202
113,VPN,720575940615149836,720575940644677411,claw,881.349812946735
114,VPN,720575940615149836,720575940647973497,en_passant,1630.1049574449587
115,VPN,720575940616412738,720575940613294016,claw,202.91477257185855
116,VPN,720575940616412738,720575940618903931,claw,502.53836061589664
117,VPN,720575940616412738,720575940616702274,claw,247.5669153005647
